id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,quorum health,59,66,5,56,340,ship,baseline,monotonic-signal,raise-signal
m002,g002,lease drift,47,31,7,90,258,ship,edge,drag-penalty,drop-slack
m003,g003,replica lag,93,67,38,98,321,ship,recovery,confidence-floor,raise-drag
m004,g004,membership churn,75,47,23,64,268,ship,negative,lane-boundary,lower-confidence
m005,g005,quorum health,79,75,42,71,248,ship,baseline,monotonic-signal,raise-signal
m006,g006,lease drift,71,10,32,29,102,hold,edge,drag-penalty,drop-slack
m007,g007,replica lag,75,67,35,56,240,ship,recovery,confidence-floor,raise-drag
m008,g008,membership churn,36,57,28,18,100,hold,negative,lane-boundary,lower-confidence
m009,g009,quorum health,73,55,8,23,312,ship,baseline,monotonic-signal,raise-signal
m010,g010,lease drift,82,10,42,66,122,watch,edge,drag-penalty,drop-slack
m011,g011,replica lag,94,42,46,92,228,ship,recovery,confidence-floor,raise-drag
m012,g012,membership churn,104,20,18,11,273,ship,negative,lane-boundary,lower-confidence
m013,g013,quorum health,77,46,24,80,283,ship,baseline,monotonic-signal,raise-signal
m014,g014,lease drift,98,51,35,70,291,ship,edge,drag-penalty,drop-slack
m015,g015,replica lag,116,72,28,26,378,ship,recovery,confidence-floor,raise-drag
m016,g016,membership churn,41,10,15,39,107,hold,negative,lane-boundary,lower-confidence
m017,g017,quorum health,60,51,14,26,238,ship,baseline,monotonic-signal,raise-signal
m018,g018,lease drift,103,63,15,61,421,ship,edge,drag-penalty,drop-slack
m019,g019,replica lag,89,18,24,83,266,ship,recovery,confidence-floor,raise-drag
m020,g020,membership churn,41,63,40,42,91,hold,negative,lane-boundary,lower-confidence
m021,g021,quorum health,74,53,32,89,257,ship,baseline,monotonic-signal,raise-signal
m022,g022,lease drift,36,39,30,97,133,watch,edge,drag-penalty,drop-slack
m023,g023,replica lag,113,16,37,76,262,ship,recovery,confidence-floor,raise-drag
m024,g024,membership churn,67,37,32,57,172,watch,negative,lane-boundary,lower-confidence
m025,g025,quorum health,101,28,34,28,217,ship,baseline,monotonic-signal,raise-signal
m026,g026,lease drift,64,2,16,55,171,watch,edge,drag-penalty,drop-slack
m027,g027,replica lag,53,43,15,30,200,ship,recovery,confidence-floor,raise-drag
m028,g028,membership churn,95,25,27,9,209,ship,negative,lane-boundary,lower-confidence
m029,g029,quorum health,41,54,17,65,211,ship,baseline,monotonic-signal,raise-signal
m030,g030,lease drift,92,60,13,91,422,ship,edge,drag-penalty,drop-slack
m031,g031,replica lag,81,47,20,23,260,ship,recovery,confidence-floor,raise-drag
m032,g032,membership churn,91,72,35,66,308,ship,negative,lane-boundary,lower-confidence
m033,g033,quorum health,97,52,27,69,329,ship,baseline,monotonic-signal,raise-signal
m034,g034,lease drift,46,0,24,25,43,hold,edge,drag-penalty,drop-slack
m035,g035,replica lag,116,26,52,51,191,ship,recovery,confidence-floor,raise-drag
m036,g036,membership churn,111,72,9,12,444,ship,negative,lane-boundary,lower-confidence
m037,g037,quorum health,121,62,20,60,447,ship,baseline,monotonic-signal,raise-signal
m038,g038,lease drift,116,49,6,82,498,ship,edge,drag-penalty,drop-slack
m039,g039,replica lag,77,26,49,54,92,hold,recovery,confidence-floor,raise-drag
m040,g040,membership churn,105,47,41,75,279,ship,negative,lane-boundary,lower-confidence
m041,g041,quorum health,44,25,42,96,68,hold,baseline,monotonic-signal,raise-signal
m042,g042,lease drift,47,40,44,75,76,hold,edge,drag-penalty,drop-slack
m043,g043,replica lag,57,67,32,69,214,ship,recovery,confidence-floor,raise-drag
m044,g044,membership churn,109,77,17,14,410,ship,negative,lane-boundary,lower-confidence
m045,g045,quorum health,60,15,15,54,189,ship,baseline,monotonic-signal,raise-signal
m046,g046,lease drift,69,45,15,29,251,ship,edge,drag-penalty,drop-slack
m047,g047,replica lag,82,9,24,21,165,watch,recovery,confidence-floor,raise-drag
m048,g048,membership churn,92,23,19,51,278,ship,negative,lane-boundary,lower-confidence
m049,g049,quorum health,65,68,43,90,206,ship,baseline,monotonic-signal,raise-signal
m050,g050,lease drift,42,47,35,22,67,hold,edge,drag-penalty,drop-slack
m051,g051,replica lag,82,55,19,78,339,ship,recovery,confidence-floor,raise-drag
m052,g052,membership churn,106,21,44,55,195,ship,negative,lane-boundary,lower-confidence
m053,g053,quorum health,86,42,40,24,166,watch,baseline,monotonic-signal,raise-signal
m054,g054,lease drift,66,22,40,50,92,hold,edge,drag-penalty,drop-slack
m055,g055,replica lag,108,18,27,24,249,ship,recovery,confidence-floor,raise-drag
m056,g056,membership churn,45,48,12,46,217,ship,negative,lane-boundary,lower-confidence
m057,g057,quorum health,114,30,9,81,438,ship,baseline,monotonic-signal,raise-signal
m058,g058,lease drift,94,48,30,53,281,ship,edge,drag-penalty,drop-slack
m059,g059,replica lag,48,76,43,87,168,watch,recovery,confidence-floor,raise-drag
m060,g060,membership churn,73,52,5,82,380,ship,negative,lane-boundary,lower-confidence
m061,g061,quorum health,54,77,33,74,225,ship,baseline,monotonic-signal,raise-signal
m062,g062,lease drift,34,46,27,68,127,watch,edge,drag-penalty,drop-slack
m063,g063,replica lag,44,15,33,26,23,hold,recovery,confidence-floor,raise-drag
m064,g064,membership churn,41,31,27,40,90,hold,negative,lane-boundary,lower-confidence
m065,g065,quorum health,96,77,29,28,325,ship,baseline,monotonic-signal,raise-signal
m066,g066,lease drift,69,56,10,20,289,ship,edge,drag-penalty,drop-slack
m067,g067,replica lag,64,65,51,63,130,watch,recovery,confidence-floor,raise-drag
m068,g068,membership churn,65,31,42,76,123,watch,negative,lane-boundary,lower-confidence
m069,g069,quorum health,78,52,42,21,149,watch,baseline,monotonic-signal,raise-signal
m070,g070,lease drift,30,19,44,77,-15,hold,edge,drag-penalty,drop-slack
m071,g071,replica lag,58,56,11,67,298,ship,recovery,confidence-floor,raise-drag
m072,g072,membership churn,76,72,28,10,242,ship,negative,lane-boundary,lower-confidence
m073,g073,quorum health,97,12,20,49,264,ship,baseline,monotonic-signal,raise-signal
m074,g074,lease drift,98,9,39,23,140,watch,edge,drag-penalty,drop-slack
m075,g075,replica lag,62,61,36,58,186,ship,recovery,confidence-floor,raise-drag
m076,g076,membership churn,92,14,25,67,246,ship,negative,lane-boundary,lower-confidence
m077,g077,quorum health,119,28,25,52,340,ship,baseline,monotonic-signal,raise-signal
m078,g078,lease drift,35,62,5,86,290,ship,edge,drag-penalty,drop-slack
m079,g079,replica lag,45,63,46,94,125,watch,recovery,confidence-floor,raise-drag
m080,g080,membership churn,97,60,36,60,291,ship,negative,lane-boundary,lower-confidence
m081,g081,quorum health,92,26,15,67,320,ship,baseline,monotonic-signal,raise-signal
m082,g082,lease drift,35,36,21,25,97,hold,edge,drag-penalty,drop-slack
m083,g083,replica lag,59,38,39,52,110,hold,recovery,confidence-floor,raise-drag
m084,g084,membership churn,30,23,18,14,60,hold,negative,lane-boundary,lower-confidence
m085,g085,quorum health,116,53,12,105,499,ship,baseline,monotonic-signal,raise-signal
m086,g086,lease drift,61,24,11,62,238,ship,edge,drag-penalty,drop-slack
m087,g087,replica lag,86,64,19,88,379,ship,recovery,confidence-floor,raise-drag
m088,g088,membership churn,58,11,14,7,133,watch,negative,lane-boundary,lower-confidence
m089,g089,quorum health,56,57,37,76,173,watch,baseline,monotonic-signal,raise-signal
m090,g090,lease drift,89,1,29,66,190,ship,edge,drag-penalty,drop-slack
m091,g091,replica lag,114,62,34,22,318,ship,recovery,confidence-floor,raise-drag
m092,g092,membership churn,86,20,27,35,198,ship,negative,lane-boundary,lower-confidence
m093,g093,quorum health,84,36,29,22,201,ship,baseline,monotonic-signal,raise-signal
m094,g094,lease drift,85,1,31,57,159,watch,edge,drag-penalty,drop-slack
m095,g095,replica lag,82,72,20,79,369,ship,recovery,confidence-floor,raise-drag
m096,g096,membership churn,40,70,5,38,273,ship,negative,lane-boundary,lower-confidence
