id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,50,66,5,56,313,ship,baseline,monotonic-signal
g002,lease drift,47,42,7,90,280,ship,edge,drag-penalty
g003,replica lag,93,67,31,98,356,ship,recovery,confidence-floor
g004,membership churn,75,47,23,77,281,ship,negative,lane-boundary
g005,quorum health,70,75,42,71,221,ship,baseline,monotonic-signal
g006,lease drift,71,21,32,29,124,watch,edge,drag-penalty
g007,replica lag,75,67,28,56,275,ship,recovery,confidence-floor
g008,membership churn,36,57,28,31,113,watch,negative,lane-boundary
g009,quorum health,64,55,8,23,285,ship,baseline,monotonic-signal
g010,lease drift,82,21,42,66,144,watch,edge,drag-penalty
g011,replica lag,94,42,39,92,263,ship,recovery,confidence-floor
g012,membership churn,104,20,18,24,286,ship,negative,lane-boundary
g013,quorum health,68,46,24,80,256,ship,baseline,monotonic-signal
g014,lease drift,98,62,35,70,313,ship,edge,drag-penalty
g015,replica lag,116,72,21,26,413,ship,recovery,confidence-floor
g016,membership churn,41,10,15,52,120,watch,negative,lane-boundary
g017,quorum health,51,51,14,26,211,ship,baseline,monotonic-signal
g018,lease drift,103,74,15,61,443,ship,edge,drag-penalty
g019,replica lag,89,18,17,83,301,ship,recovery,confidence-floor
g020,membership churn,41,63,40,55,104,hold,negative,lane-boundary
g021,quorum health,65,53,32,89,230,ship,baseline,monotonic-signal
g022,lease drift,36,50,30,97,155,watch,edge,drag-penalty
g023,replica lag,113,16,30,76,297,ship,recovery,confidence-floor
g024,membership churn,67,37,32,70,185,ship,negative,lane-boundary
g025,quorum health,92,28,34,28,190,ship,baseline,monotonic-signal
g026,lease drift,64,13,16,55,193,ship,edge,drag-penalty
g027,replica lag,53,43,8,30,235,ship,recovery,confidence-floor
g028,membership churn,95,25,27,22,222,ship,negative,lane-boundary
g029,quorum health,32,54,17,65,184,ship,baseline,monotonic-signal
g030,lease drift,92,71,13,91,444,ship,edge,drag-penalty
g031,replica lag,81,47,13,23,295,ship,recovery,confidence-floor
g032,membership churn,91,72,35,79,321,ship,negative,lane-boundary
g033,quorum health,88,52,27,69,302,ship,baseline,monotonic-signal
g034,lease drift,46,10,24,25,63,hold,edge,drag-penalty
g035,replica lag,116,26,45,51,226,ship,recovery,confidence-floor
g036,membership churn,111,72,9,25,457,ship,negative,lane-boundary
g037,quorum health,112,62,20,60,420,ship,baseline,monotonic-signal
g038,lease drift,116,60,6,82,520,ship,edge,drag-penalty
g039,replica lag,77,26,42,54,127,watch,recovery,confidence-floor
g040,membership churn,105,47,41,88,292,ship,negative,lane-boundary
g041,quorum health,35,25,42,96,41,hold,baseline,monotonic-signal
g042,lease drift,47,51,44,75,98,hold,edge,drag-penalty
g043,replica lag,57,67,25,69,249,ship,recovery,confidence-floor
g044,membership churn,109,77,17,27,423,ship,negative,lane-boundary
g045,quorum health,51,15,15,54,162,watch,baseline,monotonic-signal
g046,lease drift,69,56,15,29,273,ship,edge,drag-penalty
g047,replica lag,82,9,17,21,200,ship,recovery,confidence-floor
g048,membership churn,92,23,19,64,291,ship,negative,lane-boundary
g049,quorum health,56,68,43,90,179,watch,baseline,monotonic-signal
g050,lease drift,42,58,35,22,89,hold,edge,drag-penalty
g051,replica lag,82,55,12,78,374,ship,recovery,confidence-floor
g052,membership churn,106,21,44,68,208,ship,negative,lane-boundary
g053,quorum health,77,42,40,24,139,watch,baseline,monotonic-signal
g054,lease drift,66,33,40,50,114,watch,edge,drag-penalty
g055,replica lag,108,18,20,24,284,ship,recovery,confidence-floor
g056,membership churn,45,48,12,59,230,ship,negative,lane-boundary
g057,quorum health,105,30,9,81,411,ship,baseline,monotonic-signal
g058,lease drift,94,59,30,53,303,ship,edge,drag-penalty
g059,replica lag,48,76,36,87,203,ship,recovery,confidence-floor
g060,membership churn,73,52,5,95,393,ship,negative,lane-boundary
g061,quorum health,45,77,33,74,198,ship,baseline,monotonic-signal
g062,lease drift,34,57,27,68,149,watch,edge,drag-penalty
g063,replica lag,44,15,26,26,58,hold,recovery,confidence-floor
g064,membership churn,41,31,27,53,103,hold,negative,lane-boundary
g065,quorum health,87,77,29,28,298,ship,baseline,monotonic-signal
g066,lease drift,69,67,10,20,311,ship,edge,drag-penalty
g067,replica lag,64,65,44,63,165,watch,recovery,confidence-floor
g068,membership churn,65,31,42,89,136,watch,negative,lane-boundary
g069,quorum health,69,52,42,21,122,watch,baseline,monotonic-signal
g070,lease drift,30,30,44,77,7,hold,edge,drag-penalty
g071,replica lag,58,56,4,67,333,ship,recovery,confidence-floor
g072,membership churn,76,72,28,23,255,ship,negative,lane-boundary
g073,quorum health,88,12,20,49,237,ship,baseline,monotonic-signal
g074,lease drift,98,20,39,23,162,watch,edge,drag-penalty
g075,replica lag,62,61,29,58,221,ship,recovery,confidence-floor
g076,membership churn,92,14,25,80,259,ship,negative,lane-boundary
g077,quorum health,110,28,25,52,313,ship,baseline,monotonic-signal
g078,lease drift,35,73,5,86,312,ship,edge,drag-penalty
g079,replica lag,45,63,39,94,160,watch,recovery,confidence-floor
g080,membership churn,97,60,36,73,304,ship,negative,lane-boundary
g081,quorum health,83,26,15,67,293,ship,baseline,monotonic-signal
g082,lease drift,35,47,21,25,119,watch,edge,drag-penalty
g083,replica lag,59,38,32,52,145,watch,recovery,confidence-floor
g084,membership churn,30,23,18,27,73,hold,negative,lane-boundary
g085,quorum health,107,53,12,105,472,ship,baseline,monotonic-signal
g086,lease drift,61,35,11,62,260,ship,edge,drag-penalty
g087,replica lag,86,64,12,88,414,ship,recovery,confidence-floor
g088,membership churn,58,11,14,20,146,watch,negative,lane-boundary
g089,quorum health,47,57,37,76,146,watch,baseline,monotonic-signal
g090,lease drift,89,12,29,66,212,ship,edge,drag-penalty
g091,replica lag,114,62,27,22,353,ship,recovery,confidence-floor
g092,membership churn,86,20,27,48,211,ship,negative,lane-boundary
g093,quorum health,75,36,29,22,174,watch,baseline,monotonic-signal
g094,lease drift,85,12,31,57,181,watch,edge,drag-penalty
g095,replica lag,82,72,13,79,404,ship,recovery,confidence-floor
g096,membership churn,40,70,5,51,286,ship,negative,lane-boundary
